entry,defid,word,author,definition,example,thumbs_up,thumbs_down
petezaa,2902251,Petezaa,Critical Semen Sampler aka Pete,"A fake holliday celebrated by a bunch of losers with nothing better to do. They all get together and eat disgusting food, drink Miller light and tell war stories. It is also a gay fest, all the men sword fight each other while the women watch and make fun of there saggy balls. The men put on wigs and then play ""whose hole is this"".","Pete - I'm the coolest cat around, hey otter, once
I finish being grounded, maybe my mom will
let us play with each others peckers while
we read our dads nudie mags in the basement.
Cat - Pete, leave Otter alone he doesn't live in 
his moms basement like you do. Petezaa moto -
Petezaa, it's for the gays",4,10
papparingaa,2280609,papparingaa,Handman,"pronounced: päppäringääh

(origin: South India)

interj.
(in sophisticated fighting scenes) Used by the protagonist to express vengeance, especially after succumbing to an initial offensive.
  
n. 
an appeal for a more violent/ form of combat such as projecting five jute sacks with unflattering kicks, and/or executing stupendous rooftop leaps to punch the antagonists.

n.
a form of assurance delivered by the protagonist to the bystanders, after being  dissuaded from engaging in a fight

syn. ippaparingaa, ippapareh","Seyhndtodeh Mehyngdtodeh assured the old man with a ""Papparingaa"" when he tried to persuade the local Rambo to not engage in the fight. 

More entries welcome",0,1
puaay,1014571,puaay,Pwnd_Applez,A loser that will never get any pussy.,"Random Guy: "" lol your dad is a puaay... cus your mom left him lol""

Kid: ""WTF STFU""",17,18
phaaor,1130083,Phaaor,nicki,A word used to descibe the epitome of sexy. If you find someone attractive you would often use this word.,"""phaaor! You is lookin' fine""",0,2
paating,3914208,paating,yobti,"1. PAATING (proper noun) is the nickname of a highly skilled and accurate thrower.

2. PAATING (adjective) is also the sound of an object when it hits its intended target, which if you are PAATING(1.) is very often.

3. To PAATING,(verb) being able to hit an object with a throw that seems highly improbable.","1. PAATING, you never miss do you?

2. He threw it at the post and it just went PAATING!

3. Go on man PAATING the post.",47,13
pvsgpaa9,86309,pvsgpaa9,God.,Pink victoria secret granny panties alert at 9 o'clock.,Emily Beck,5,20
pizaaz,1378378,pizaaz,Lynn,"Wow factor, or individuality in personality.","""She's really nice, y'know, she just doesn't seem to be anything *but* nice... she has no pizaaz to her.""",4,1
prrrraaap,2837266,prrrraaap,Joey Orgler 4,"The sound that be bouncin' all up out dat muthas Glock, dawg. Yall gon' heer dis, damn scrap killas, juss'bafoh yo ass get messed-the-fuck-up in an optimization. Those bitches 'ull hit ya blunt-side (You know what I'm talkin' about...) in da Royal Rumble, so be prepar'. I juss gonna tell yall, rih' naw, don't mix yo'self up wit da Ayeff Stree' Balla's, dey'll eat yo' babies and rape jo' mammas, NFJ.","""Prrrraaap."" *Falls over dead in pile of Ball Chowder*",11,9
pwwicttaa,3783940,PWWICTTAA,Chanseyandeggs,"Person With Whom I Can Talk To About Anything.  A close friend that will listen to all your problems, no problem.","Dave is my PWWICTTAA ever since summer camp.  When my grandma died, he was the first person I went to.",1,1
paavam,4116717,Paavam,DjNemesis,"Someone who is innocent, naive, not well-versed with ways of the world.",She is so paavam ya!,25,2
piraaveenan,5045258,Piraaveenan,PRECIOUSlicks,"another named for a chode, normally smaller and a little wider.","Man, we had sex, and he had this teensy piraaveenan!",0,0
payaaah,1091600,payaaah,s00s,"a Cry of victory, or sounding a charge in counter-strike. Invented on the Slash server by members of team PwN","""haha headhost, bicth!""
""paayyaaahhhh""",1,2
pyaari,1829558,pyaari,5tr41ghtUpG,a loving expression; lovely (hindi),"Mick: Shabnam, you are so pyaari",15,2
paadra,6047242,paadra,vrox,the one who farts loudly,toh [paadra] aahe,6,0
paavana,5006714,Paavana,McDreamy77,"Someone who offers sage advice and always remains a steadfast friend. This person is very logical and destined to be very successful in their own chosen field. She sticks to her ideals, and never conforms to other people's expectations. She is meant to grow to a very old age and have a happy life with numerous grandchildren",Paavana is someone with a beautiful soul.,6,1
paayal,3234228,Paayal,BrokenBabii,"A hindu girls name
usually very beautiful
Meaning a Anklet in the hindu language",Paayal is the most beautiful girl in the world,12,5
primaa,2098167,Primaa,ikon1,NJ term being a lazy amalgamation of pretty much.,"person 1- are you finished?
person 2- primaa, be right there.",5,3
panhaa,3390533,panhaa,jet pack,a loud noise pronounced pnggghh!!!  it first originated from someone's laugh in 2008.  It is a useful tool for making fun of someone's laugh.,johnny makes a bad pun.  When Billy hears Johnny's pun he laughs loudly every time beginning with panhaa.,0,0
penvaan,6952397,penvaan,The penvaanian,Adj. (Pronounced: Pen-faan) hings that are beyond stupidity and idiocy or just not normal,"Mike: I love my new Plasma
Steve: you mean that plasma with [penvaan] functions",0,0
pusssaaaayyy!!!!!!,3919651,pusssaaaayyy!!!!!!,MR.crazyness34,"not only something every straight guy worships but also a person who is suckish or whimpy  or afraid of everything that may get them hurt,in trouble,or maybe killed lol",dude you are such a pusssaaaayyy!!!!!!,7,12
pusswaar,6591984,Pusswaar,huggibare,"means pussy hole

created by a guy from stoke",shut up pusswaar,2,2
praveenaa,2633726,praveenaa,Kishan S,A word in Tamil meaning a girl who prostitutes. It also means a girl who goes after men who are already taken.,"Boy: ""That girl wants to go out with me, but I already have a girlfriend""
Girl: ""She is such a Praveenaa""",56,18
paazaa,1860767,Paazaa,Jean Richelle,"an onamatapia used to describe victory and/or excitement, to be exstatic in what you are doing or what you have won","They won the game and Lisa screamed, ""Paazaa! Here we come championship!""",3,6
paavan,3144332,Paavan,ivy_gal,(Noun)something/somone impossible to resist,Mike pulled a paavan on me last night !! I just cant help but do what he wants..,48,12
paavan,2603839,Paavan,Cakie,"piece of shit, very nasty and used as a derogatory term","Mike said, ""Man, John, you are such a paavan right now!""",7,64
paad,6773771,Paad,paad master,Indian word for fart,"sala paad dis hai: he just [farted]

bahut paade hai: he [farts] a lot

paade wali larki: [girl] who farts

paado: please [fart]

padna: one who [farted]

gand mein paad: [ass] full of fart

gandh paad: [stinky] fart",42,12
praan,7774239,praan,Truth305,Small Penis,I have a praan,0,0
paarty animal,5708730,pAArty animal,jenkiez,"some1 who drinks a lot but doesnt get 2 out of control and has a amazing time, usually the life of the party",haha did you see Larry The Fairy last night? He was a pAArty animal,0,0
pumbaa,5394244,Pumbaa,Walro509,"Based off Disney's character, Pumbaa is used to describe the ""big"" one in a group of girls who typically cockblocks guys from the prettier girls in the group. Pumbaas exist because they do not get any love and thus prevent every other girl in their group from getting love as well.","Man did you see the pumbaa swoop in and grab her girl away from me?

Man that pumbaa was real nasty, I think she even had tusks on her.",37,16
pumbaa,3676472,Pumbaa,Mangoe E. Howlermonkey,"A homosexual, tropical and overweight species of wild boar that thrives with its close sexual partner (Timone) in the movies ""The Lion King"" ""The lion King II: Simba's Pride"" And ""The Lion King One and 1/2""
A Pumbaa has blood red coloring, long pointy tusks, and a short stumpy mane of black pubic hair, he can be seen obsessing over his lover Timone deep in the rainforests somewhere in Africa.
The Pumbaas' diet consists of insects, worms, and various dead animals- much of which it gathers with its tongue and tusks.","That male Pumbaa is obsessing over a male Meerkat!
That Meerkat must be a Timone!
Oh look! They're making gay love together!",6,34
piyaaad,81390,piyaaad,Anonymous,A word used by highly intelligent people to display anger and being pissed off.,"Mike:  The DEVILS lost in overtime.
Joe:  Piyaad!!!!",11,1
pazaak,1058277,pazaak,dMKt,"(n.)  Widely played game in the ancient Star Wars universe.  Is similar to 21, but with a player's side deck consisting of collected cards that can change the player's total.  Played to 20","In hand: +5, -2, +3
Total=10. Hit. Total=15. Play +5. Total=20. Stand",38,7
pazaak,381118,pazaak,Tavi,"The best card game in the star wars galaxy.

Also, the loophole on the back of one's jacket, into which one of the cards can be tucked.",My dad's coat had a real knack for being an excellent pazaak holder.,16,8
pazaak,686572,Pazaak,The_Reaper,The male genetalia,"i.e- Dude, if you play with your pazaak too much you'll go blind""",7,25
phooglaay,5287645,Phooglaay,Spedddlllers,"(1)The personification of all things douchy
(2)Urination in the grass by small three haired object
(3)A replacement for any curse word.","1. What the phooglaay?!
2. Omg I have to sit beside a phooglaay.
3. you know you love love me, xoxo phooglaay.",42,19
poochki paachki,2277532,poochki paachki,Poochki Paachki,"A term of endearment and adoration for a cute, baby-like loved one with supple, round cheeks. The use of the term is often accompanied by a game of exchanging noisy kisses or utterances of frustration regarding how the other person doesn't love them anymore in a baby-like, ungrammatical manner.","Poochki Paachki, You're soooo cuuuute!! <while planting noisy kisses on the other's cheeks.> How come you don't love me no more?!",4,1
pshaaa,349765,pshaaa,captain sexual,vipul can suck it,"pshaaa, vipul",0,2
pshaaa,349063,pshaaa,V.T,an expression of pushing something aside. not really accepting something.,"""yo were goin to the super bowl buddy.""
""pshaaa. you guys suck.""",1,6
phleppadraaboog,802883,Phleppadraaboog,BriDaGuy,"Can be used in any context. The word was discovered along the top of a random word find. However, it was not in the word key.","1)I combed my Phleppadraaboog.
2)Go Phleppadraaboog yourself.
3)The Phleppadraaboog floss is used for going to the Phleppadraaboog.",2,1
praaaaaa,2937637,Praaaaaa,Bellaco,"A Word Or Pharse Used By Reggaeton Rapper ""Arcangel"" Usually Just To Hype Someone Up","Yo Soy La Fuckin Maravilla PRAAAAAAAA!!!!

Ey Wasz Good Man Praaaa",36,3
pwaa,5925168,Pwaa,History Guide?,Sound of a happy alpaca.,So like I saw an alPWAAca and it was like PWAAing.,105,7
pwaa,7815598,pwaa,cem1197,The sound a happy alpaca makes. Made popular because of the World Scholars Cup organisation. Can be used to change certain words to be cuter.,"Tom: How was your date with Alex
Sam: It was PWAAwesome",74,6
pwaa,8215337,Pwaa,Cryptanark,"The sound an Alpaca makes when it is happy. Usually used for puns.

Note: The third result in a currently bare list of definitions for ""Pwaa""",Did the alpaca just pwaa?,13,2
petaay crazaay,1100804,petaay crazaay,sfsdfsad,A stage of the PETAAAY when he goes absoluteLAAY CRAZZAAY and pics up any objects to throw,for example when petaay throws a bat he evolves to pettaaay crazzay,3,4
pnnaahh!,1863168,Pnnaahh!,Concept King,A word used to suprise people unexpectedly. It actually works quite well but sometimes people think your mad.,"Issuer: Pnnaahh!, pnnaahh!. Fwop! Ha ha, that suprised you!!
Reciprient: Ahhh! Oh god you scared me you mad man!",2,10
paavani,2861664,paavani,chew joel,"Paavani is defined as a person who likes to [pet] people's head. Usually of American-indian origin. It is advisable to protect yourself (bring a condom or something of similar use ) when confronted with this human. On the occasion that you do encounter this person, take the following steps.
1) Move back slowly*DO NOT MAKE ANY SUDDEN MOVES*
2) If there is a lake with FISHES, jump in without hesitation (there must be fishes!!)
3) Do not climb a tree paavanis are very adapt at climbing trees
4) Do not make eye-contact
5) If at anytime you hear a ""meow"", RUN FOR YOUR LIFE!!
Paavanis are usually harmless, peace-loving creatures that care about global warming and such noble causes. Things that  trigger a paavani attack are 
- [petting] 
- bad days
- physics labs
- etc...
If attacked by a paavani call the help line: 9833 242 228","Guy: Hey! look there is a paavani!
Girl: Oh ya! Thats amazing, but we'd better be careful i heard they can be dangerous!
Guy: Really?
Girl: Yeah!     Wait! What are you doing??!! Don't get too close...!
Guy: Whoa!! this a so cool!!
Girl: Nooooooooooooooooo
Guy: *petted* , <he then passes out>
Girl: Why!!!  Why must the good die young!!!",6,7
